Pos,Team,Winning Percent
1,Real Madrid,59.63%
2,Barcelona,57.24%
3,Atletico Madrid,47.48%
4,Valencia,44.56%
5,Athletic Bilbao,43.77%
6,Sevilla,41.11%
7,Espanyol,36.10%
8,Real Sociedad,37.53%
9,Zaragoza,35.15%
10,Real Betis,35.07%
11,Deportivo La Coruna,36.80%
12,Celta Vigo,34.51%
13,Valladolid,31.58%
14,Racing Santander,31.72%
15,Sporting Gijon,32.30%
16,Osasuna,32.32%
17,Malaga,31.08%
18,Oviedo,34.23%
19,Mallorca,33.70%
20,Las Palmas,33.49%
21,Villarreal,41.18%
22,Granada,29.38%
23,Rayo Vallecano,28.99%
24,Elche,29.94%
25,Getafe,32.24%
26,Hercules,29.30%
27,Tenerife,31.38%
28,Murcia,24.74%
29,Alaves,32.89%
30,Levante,28.11%
31,Salamanca,29.08%
32,Sabadell,30.28%
33,Cadiz,23.21%
34,Logrones,27.75%
35,Castellon,30.84%
36,Albacete,28.15%
37,Almeria,27.19%
38,Cordoba,29.08%
39,Compostela,32.50%
40,Recreativo,26.88%
41,Burgos CF,28.92%
42,Pontevedra,29.44%
43,Numancia,24.34%
44,Eibar,30.70%
45,Arenas,33.08%
46,Real Burgos,22.81%
47,Gimnastic,29.31%
48,Extremadura,25.00%
49,Merida,23.75%
50,Alcoyano,27.78%
51,Jaen,32.22%
52,Real Union,29.17%
53,AD Almeria,25.00%
54,Europa,33.33%
55,Lleida,19.12%
56,Leganes,21.05%
57,Xerez,21.05%
58,Condal,23.33%
59,Atletico Tetuan,23.33%
60,Cultural Leonesa,16.67%
61,Girona,0.00%
